group,name,offset,width,type,value,meaning
AlarmAttributes,type,28,4,enum,0,NONE
AlarmAttributes,type,28,4,enum,1,STANDARD1S
AlarmAttributes,type,28,4,enum,2,CUSTOM1S
AlarmAttributes,type,28,4,enum,3,STANDARDHS
AlarmAttributes,type,28,4,enum,4,CUSTOMHS
AlarmAttributes,type,28,4,enum,5,DISTURBANCE
AlarmAttributes,type,28,4,enum,6,TRANSIENT
AlarmAttributes,type,28,4,enum,7,WAVESHAPE
AlarmAttributes,type,28,4,enum,8,UNARY
AlarmAttributes,type,28,4,enum,9,DIGITAL
AlarmAttributes,type,28,4,enum,10,BINARY
AlarmAttributes,type,28,4,enum,11,TIME_OF_DAY
AlarmAttributes,type,28,4,enum,12,LOGIC
AlarmAttributes,subtype,23,4,enum,0,NONE
AlarmAttributes,subtype,23,4,enum,1,OVER SIGNED
AlarmAttributes,subtype,23,4,enum,2,UNDER SIGNED
AlarmAttributes,subtype,23,4,enum,3,LEADING
AlarmAttributes,subtype,23,4,enum,4,LAGGING
AlarmAttributes,subtype,23,4,enum,5,PHASELOSS
AlarmAttributes,subtype,23,4,enum,6,PHASEREV
AlarmAttributes,subtype,23,4,enum,7,REVPOWER
AlarmAttributes,subtype,23,4,enum,8,POWERUP
AlarmAttributes,subtype,23,4,enum,9,RESET
AlarmAttributes,subtype,23,4,enum,10,DIAGNOSTIC
AlarmAttributes,subtype,23,4,enum,11,OFF2ON
AlarmAttributes,subtype,23,4,enum,12,ON2OFF
AlarmAttributes,subtype,23,4,enum,13,SWELL
AlarmAttributes,subtype,23,4,enum,14,SAG
AlarmAttributes,subtype,23,4,enum,15,AND
AlarmAttributes,subtype,23,4,enum,16,NAND
AlarmAttributes,subtype,23,4,enum,17,OR
AlarmAttributes,subtype,23,4,enum,18,NOR
AlarmAttributes,subtype,23,4,enum,19,XOR
AlarmAttributes,subtype,23,4,enum,20,NOT
AlarmAttributes,subtype,23,4,enum,21,OVER ABSOLUTE
AlarmAttributes,subtype,23,4,enum,22,UNDER ABSOLUTE
AlarmAttributes,subtype,23,4,enum,31,NOT_USED
AlarmAttributes,parameter,17,4,enum,0,NONE
AlarmAttributes,parameter,17,4,enum,1,VOLTAGE
AlarmAttributes,parameter,17,4,enum,2,CURRENT
AlarmAttributes,parameter,17,4,enum,3,ACTIVE_POWER
AlarmAttributes,parameter,17,4,enum,4,REACTIVE_POWER
AlarmAttributes,parameter,17,4,enum,5,APPARENT_POWER
AlarmAttributes,parameter,17,4,enum,6,FREQUENCY
AlarmAttributes,parameter,17,4,enum,7,POWER_FACTOR
AlarmAttributes,parameter,17,4,enum,8,STANDARD
AlarmAttributes,parameter,17,4,enum,9,OPTION_SLOT_A
AlarmAttributes,parameter,17,4,enum,10,OPTION_SLOT_B
AlarmAttributes,parameter,17,4,enum,11,OPTION_SLOT_C
AlarmAttributes,parameter,17,4,enum,12,OPTION_SLOT_D
AlarmAttributes,parameter,17,4,enum,13,SELF_TEST
AlarmAttributes,parameter,17,4,enum,14,HARMONIC
AlarmAttributes,parameter,17,4,enum,15,INTERHARMONIC
AlarmAttributes,parameter,17,4,enum,16,K_FACTOR
AlarmAttributes,parameter,17,4,enum,17,FLICKER
AlarmAttributes,parameter,17,4,enum,18,ENERGY
AlarmAttributes,parameter,17,4,enum,19,DATETIME
AlarmAttributes,parameter,17,4,enum,20,TEMPERATURE
AlarmAttributes,parameter,17,4,enum,21,INPUT_METERING_1
AlarmAttributes,parameter,17,4,enum,22,INPUT_METERING_2
AlarmAttributes,parameter,17,4,enum,23,INPUT_METERING_3
AlarmAttributes,parameter,17,4,enum,24,INPUT_METERING_4
AlarmAttributes,parameter,17,4,enum,25,INPUT_METERING_5
AlarmAttributes,parameter,17,4,enum,26,INPUT_METERING_6
AlarmAttributes,parameter,17,4,enum,27,INPUT_METERING_7
AlarmAttributes,parameter,17,4,enum,28,INPUT_METERING_8
AlarmAttributes,parameter,17,4,enum,29,INPUT_METERING_9
AlarmAttributes,parameter,17,4,enum,30,INPUT_METERING_10
AlarmAttributes,parameter,17,4,enum,61,USER_DEFINED1
AlarmAttributes,parameter,17,4,enum,62,USER_DEFINED2
AlarmAttributes,parameter,17,4,enum,63,USER_DEFINED3
AlarmAttributes,modifier,11,4,enum,0,NONE
AlarmAttributes,modifier,11,4,enum,1,1
AlarmAttributes,modifier,11,4,enum,2,2
AlarmAttributes,modifier,11,4,enum,3,3
AlarmAttributes,modifier,11,4,enum,4,4
AlarmAttributes,modifier,11,4,enum,5,5
AlarmAttributes,modifier,11,4,enum,6,6
AlarmAttributes,modifier,11,4,enum,7,7
AlarmAttributes,modifier,11,4,enum,8,8
AlarmAttributes,modifier,11,4,enum,9,9
AlarmAttributes,modifier,11,4,enum,10,10
AlarmAttributes,modifier,11,4,enum,11,11
AlarmAttributes,modifier,11,4,enum,12,12
AlarmAttributes,modifier,11,4,enum,13,13
AlarmAttributes,modifier,11,4,enum,14,14
AlarmAttributes,modifier,11,4,enum,15,15
AlarmAttributes,modifier,11,4,enum,16,16
AlarmAttributes,modifier,11,4,enum,17,PHASE
AlarmAttributes,modifier,11,4,enum,18,NEUTRAL
AlarmAttributes,modifier,11,4,enum,19,GROUND
AlarmAttributes,modifier,11,4,enum,20,LN
AlarmAttributes,modifier,11,4,enum,21,LL
AlarmAttributes,modifier,11,4,enum,22,THD
AlarmAttributes,modifier,11,4,enum,23,UNBALANCE
AlarmAttributes,modifier,11,4,enum,24,TRUE
AlarmAttributes,modifier,11,4,enum,25,DISPLACEMENT
AlarmAttributes,modifier,11,4,enum,26,DEMAND_LAST
AlarmAttributes,modifier,11,4,enum,27,DEMAND_PREDICTED
AlarmAttributes,modifier,11,4,enum,28,DEMAND_PRESENT
AlarmAttributes,modifier,11,4,enum,29,RMS
AlarmAttributes,modifier,11,4,enum,30,FUNDAMENTAL
AlarmAttributes,modifier,11,4,enum,31,ANGLE
AlarmAttributes,modifier,11,4,enum,32,DEMAND_PEAK
AlarmAttributes,modifier,11,4,enum,33,CREST_FACTOR
AlarmAttributes,modifier,11,4,enum,34,DISTORTION
AlarmAttributes,modifier,11,4,enum,35,INSTANTANEOUS
AlarmAttributes,modifier,11,4,enum,36,SHORT_TERM
AlarmAttributes,modifier,11,4,enum,37,LONG_TERM
AlarmAttributes,modifier,11,4,enum,38,POSITIVE_SEQUENCE
AlarmAttributes,modifier,11,4,enum,39,NEGATIVE_SEQUENCE
AlarmAttributes,modifier,11,4,enum,40,ZERO_SEQUENCE
AlarmAttributes,modifier,11,4,enum,41,TREND
