group,name,total_width,offset,width,type,value,meaning,description,standard
AlarmAttributes,type,32,28,4,enum,0,NONE,No alarm type defined,Device specific AlarmAttributes
AlarmAttributes,type,32,28,4,enum,1,STANDARD1S,Standard 1-second alarm for continuous monitoring,Device specific AlarmAttributes
AlarmAttributes,type,32,28,4,enum,2,CUSTOM1S,Custom 1-second alarm with user-defined parameters,Device specific AlarmAttributes
AlarmAttributes,type,32,28,4,enum,3,STANDARDHS,Standard high-speed alarm for rapid event detection,Device specific AlarmAttributes
AlarmAttributes,type,32,28,4,enum,4,CUSTOMHS,Custom high-speed alarm with user-defined parameters,Device specific AlarmAttributes
AlarmAttributes,type,32,28,4,enum,5,DISTURBANCE,Power quality disturbance alarm,Device specific AlarmAttributes
AlarmAttributes,type,32,28,4,enum,6,TRANSIENT,Transient event alarm for short-duration anomalies,Device specific AlarmAttributes
AlarmAttributes,type,32,28,4,enum,7,WAVESHAPE,Waveform shape deviation alarm,Device specific AlarmAttributes
AlarmAttributes,type,32,28,4,enum,8,UNARY,Single-condition alarm,Device specific AlarmAttributes
AlarmAttributes,type,32,28,4,enum,9,DIGITAL,Digital input-based alarm,Device specific AlarmAttributes
AlarmAttributes,type,32,28,4,enum,10,BINARY,Binary state alarm,Device specific AlarmAttributes
AlarmAttributes,type,32,28,4,enum,11,TIME_OF_DAY,Time-of-day scheduled alarm,Device specific AlarmAttributes
AlarmAttributes,type,32,28,4,enum,12,LOGIC,Logic-based alarm combining multiple conditions,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,0,NONE,No alarm subtype defined,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,1,OVER SIGNED,Value exceeds upper threshold (signed comparison),Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,2,UNDER SIGNED,Value falls below lower threshold (signed comparison),Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,3,LEADING,Leading power factor condition,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,4,LAGGING,Lagging power factor condition,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,5,PHASELOSS,Phase loss detected,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,6,PHASEREV,Phase reversal detected,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,7,REVPOWER,Reverse power flow detected,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,8,POWERUP,Power-up event,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,9,RESET,System reset event,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,10,DIAGNOSTIC,Diagnostic alarm triggered,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,11,OFF2ON,Transition from OFF to ON state,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,12,ON2OFF,Transition from ON to OFF state,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,13,SWELL,Voltage swell (overvoltage) condition,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,14,SAG,Voltage sag (undervoltage) condition,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,15,AND,Logical AND operation,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,16,NAND,Logical NAND operation,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,17,OR,Logical OR operation,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,18,NOR,Logical NOR operation,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,19,XOR,Logical XOR operation,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,20,NOT,Logical NOT operation,Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,21,OVER ABSOLUTE,Value exceeds upper threshold (absolute comparison),Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,22,UNDER ABSOLUTE,Value falls below lower threshold (absolute comparison),Device specific AlarmAttributes
AlarmAttributes,subtype,32,23,4,enum,31,NOT_USED,Reserved - not used,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,0,NONE,No parameter specified,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,1,VOLTAGE,Voltage measurement parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,2,CURRENT,Current measurement parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,3,ACTIVE_POWER,Active power (W) parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,4,REACTIVE_POWER,Reactive power (VAR) parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,5,APPARENT_POWER,Apparent power (VA) parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,6,FREQUENCY,Frequency (Hz) parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,7,POWER_FACTOR,Power factor parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,8,STANDARD,Standard measurement parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,9,OPTION_SLOT_A,Optional module slot A parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,10,OPTION_SLOT_B,Optional module slot B parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,11,OPTION_SLOT_C,Optional module slot C parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,12,OPTION_SLOT_D,Optional module slot D parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,13,SELF_TEST,Self-test diagnostic parameter,Device specific AlarmAttributes
