Category,Sub Cat 1,Sub Cat 2,Description,Register,Units,"Size
(INT16)",Data Type,Access,Range,Default,User Notes
System Setup & Status,,,,1,---,,---,---,---,---,
System Setup & Status,Product & Features,,Meter Name,30,---,20,UTF8,RWC,---,"PM5xxx = ""Power Meter""",
System Setup & Status,Product & Features,,Meter Model,50,---,20,UTF8,RWC,---,"
PM5110 = ""PM5110""
PM5111 = ""PM5111""
PM5310 = ""PM5310""
PM5330 = ""PM5330""
PM5331 = ""PM5331""
PM5320 = ""PM5320""
PM5340 = ""PM5340""
PM5341 = ""PM5341""
PM5100 = ""PM5100""",
System Setup & Status,Product & Features,,Manufacturer,70,---,20,UTF8,RWC,---,"""Schneider Electric""",
System Setup & Status,Product & Features,,Product ID Number,90,---,1,INT16U,RWC,,"PM5110 = 15270
PM5111 = 15271
PM5310 = 15272
PM5330 = 15273
PM5331 = 15274
PM5320 = 15275
PM5340 = 15276
PM5341 = 15277
PM5100 = 15278",
System Setup & Status,Product & Features,,Hardware Detected,91,---,4,BITMAP,R,0x0000 – 0xFFFF,"PM5110 = 0x001B
PM5111 = 0x001B
PM5310 = 0x001B
PM5330 = 0x001B
PM5331 = 0x001B
PM5320 = 0x001D
PM5340 = 0x001D
PM5341 = 0x001D
","Bitmap indicating base hardware options detected
Bit 01 = HMI
Bit 02 = Modbus Serial Communications Port
Bit 03 = Modbus Ethernet Communications Port
Bit 04 = Digital Inputs
Bit 05 = Digital Outputs
Bit 06-16 Not Used
"
System Setup & Status,Product & Features,,Supported Features,95,---,4,BITMAP,R,0x0000 – 0xFFFF,"PM5110 = 0x161D
PM5111 = 0x161D
PM5310 = 0x169D
PM5330 = 0x169D
PM5331 = 0x169D
PM5320 = 0x169D
PM5340 = 0x169D
PM5341 = 0x169D","Bitmap indicating features supported
Bit 01 = 1 Cycle Metering
Bit 02 = 5/6 Cycle Metering
Bit 03 = 50/60 Cycle Metering
Bit 04 = Min/Max
Bit 05 = Accumulated Energy
Bit 06 = Conditional Energy
Bit 07 = Time-of-Use Energy
Bit 08 = Multi-tarrif Energy
Bit 09 = Input Metering
Bit 10 = Demand
Bit 11 = Alarms
Bit 12 = Waveform Capture
Bit 13 = Datalogging
Bit 14 = Not Used
Bit 15 = Not Used
Bit 16 = Not Used
"
System Setup & Status,Manufacturing Data,Meter,Manufacturing Unit Id,129,,1,INT16U,R,---,0,Manufacturing Unit ID 
System Setup & Status,Manufacturing Data,Meter,Serial Number,130,---,2,INT32U,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Date of Manufacture,132,---,4,DATETIME,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Hardware Revision,136,---,5,UTF8,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Production History 01,141,---,1,INT16U,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Production History 02,142,---,1,INT16U,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Production History 03,143,---,1,INT16U,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Production History 04,144,---,1,INT16U,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Production History 05,145,---,1,INT16U,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Production History 06,146,---,1,INT16U,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Production History 07,147,---,1,INT16U,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Production History 08,148,---,1,INT16U,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Production History 09,149,---,1,INT16U,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Production History 10,150,---,1,INT16U,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Production History 11,151,---,1,INT16U,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Production History 12,152,---,1,INT16U,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Production History 13,153,---,1,INT16U,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Production History 14,154,---,1,INT16U,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Production History 15,155,---,1,INT16U,R,---,0,
System Setup & Status,Manufacturing Data,Meter,Production History 16,156,---,1,INT16U,R,---,0,
