Category,Sub Cat 1,Sub Cat 2,Description,Register,Units,"Size
(INT16)",Data Type,Access,Range,Default,User Notes
Meter Data (Basic),Current,Current,Current A,3000,A,2,FLOAT32,R,,,
Meter Data (Basic),Current,Current,Current B,3002,A,2,FLOAT32,R,,,
Meter Data (Basic),Current,Current,Current C,3004,A,2,FLOAT32,R,,,
Meter Data (Basic),Current,Current,Current N,3006,A,2,FLOAT32,R,,,Reportable only in systems where there is a N current and when all wired phase currents are metered
Meter Data (Basic),Current,Current,Current G,3008,A,2,FLOAT32,R,,,Reportable only in systems where there is not a N current and when all wired phase currents are metered
Meter Data (Basic),Current,Current,Current Avg,3010,A,2,FLOAT32,R,,,
Meter Data (Basic),Current,Current Unbalance,Current Unbalance A,3012,%,2,FLOAT32,R,,,
Meter Data (Basic),Current,Current Unbalance,Current Unbalance B,3014,%,2,FLOAT32,R,,,
Meter Data (Basic),Current,Current Unbalance,Current Unbalance C,3016,%,2,FLOAT32,R,,,
Meter Data (Basic),Current,Current Unbalance,Current Unbalance Worst,3018,%,2,FLOAT32,R,,,
Meter Data (Basic),Voltage,Voltage,Voltage A-B,3020,V,2,FLOAT32,R,,,
Meter Data (Basic),Voltage,Voltage,Voltage B-C,3022,V,2,FLOAT32,R,,,
Meter Data (Basic),Voltage,Voltage,Voltage C-A,3024,V,2,FLOAT32,R,,,
Meter Data (Basic),Voltage,Voltage,Voltage L-L Avg,3026,V,2,FLOAT32,R,,,
Meter Data (Basic),Voltage,Voltage,Voltage A-N,3028,V,2,FLOAT32,R,,,Reportable only in systems where Van is connected
Meter Data (Basic),Voltage,Voltage,Voltage B-N,3030,V,2,FLOAT32,R,,,Reportable only in systems where Vbn is connected
Meter Data (Basic),Voltage,Voltage,Voltage C-N,3032,V,2,FLOAT32,R,,,Reportable only in systems where Vcn is connected
Meter Data (Basic),Voltage,Voltage,Voltage N-G ,3034,V,2,FLOAT32,R,,,Need to indicate under what conditions this value will be reported.
Meter Data (Basic),Voltage,Voltage,Voltage L-N Avg,3036,V,2,FLOAT32,R,,,Reportable only in systems where a L-N voltage is applied
Meter Data (Basic),Voltage,Voltage Unbalance,Voltage Unbalance A-B,3038,%,2,FLOAT32,R,,,
Meter Data (Basic),Voltage,Voltage Unbalance,Voltage Unbalance B-C,3040,%,2,FLOAT32,R,,,
Meter Data (Basic),Voltage,Voltage Unbalance,Voltage Unbalance C-A,3042,%,2,FLOAT32,R,,,
Meter Data (Basic),Voltage,Voltage Unbalance,Voltage Unbalance L-L Worst,3044,%,2,FLOAT32,R,,,
Meter Data (Basic),Voltage,Voltage Unbalance,Voltage Unbalance A-N,3046,%,2,FLOAT32,R,,,
Meter Data (Basic),Voltage,Voltage Unbalance,Voltage Unbalance B-N,3048,%,2,FLOAT32,R,,,
Meter Data (Basic),Voltage,Voltage Unbalance,Voltage Unbalance C-N,3050,%,2,FLOAT32,R,,,
Meter Data (Basic),Voltage,Voltage Unbalance,Voltage Unbalance L-N Worst,3052,%,2,FLOAT32,R,,,
Meter Data (Basic),Power,Power,Active Power A,3054,kW,2,FLOAT32,R,,,
Meter Data (Basic),Power,Power,Active Power B,3056,kW,2,FLOAT32,R,,,
Meter Data (Basic),Power,Power,Active Power C,3058,kW,2,FLOAT32,R,,,
Meter Data (Basic),Power,Power,Active Power Total,3060,kW,2,FLOAT32,R,,,
Meter Data (Basic),Power,Power,Reactive Power A,3062,kVAR,2,FLOAT32,R,,,
Meter Data (Basic),Power,Power,Reactive Power B,3064,kVAR,2,FLOAT32,R,,,
Meter Data (Basic),Power,Power,Reactive Power C,3066,kVAR,2,FLOAT32,R,,,
Meter Data (Basic),Power,Power,Reactive Power Total,3068,kVAR,2,FLOAT32,R,,,
Meter Data (Basic),Power,Power,Apparent Power A,3070,kVA,2,FLOAT32,R,,,
Meter Data (Basic),Power,Power,Apparent Power B,3072,kVA,2,FLOAT32,R,,,
Meter Data (Basic),Power,Power,Apparent Power C,3074,kVA,2,FLOAT32,R,,,
Meter Data (Basic),Power,Power,Apparent Power Total,3076,kVA,2,FLOAT32,R,,,
Meter Data (Basic),Power Factor,Power Factor,Power Factor A,3078,---,2,4Q_FP_PF,R,+/- 0.0 – 2.0,,
Meter Data (Basic),Power Factor,Power Factor,Power Factor B,3080,---,2,4Q_FP_PF,R,+/- 0.0 – 2.0,,
Meter Data (Basic),Power Factor,Power Factor,Power Factor C,3082,---,2,4Q_FP_PF,R,+/- 0.0 – 2.0,,
Meter Data (Basic),Power Factor,Power Factor,Power Factor Total,3084,---,2,4Q_FP_PF,R,+/- 0.0 – 2.0,,
Meter Data (Basic),Power Factor,Power Factor,Displacement Power Factor A,3086,---,2,4Q_FP_PF,R,+/- 0.0 – 2.0,,
Meter Data (Basic),Power Factor,Power Factor,Displacement Power Factor B,3088,---,2,4Q_FP_PF,R,+/- 0.0 – 2.0,,
Meter Data (Basic),Power Factor,Power Factor,Displacement Power Factor C,3090,---,2,4Q_FP_PF,R,+/- 0.0 – 2.0,,
Meter Data (Basic),Power Factor,Power Factor,Displacement Power Factor Total,3092,---,2,4Q_FP_PF,R,+/- 0.0 – 2.0,,
Meter Data (Basic),Frequency,Frequency,Frequency,3110,Hz,2,FLOAT32,R,42 – 70,,
Meter Data (Basic),Power Factor,"Power Factor, Alternate Format",Power Factor Total IEC,3192,---,2,FLOAT32,R,-1 to 1,---,
Meter Data (Basic),Power Factor,"Power Factor, Alternate Format",Power Factor Total Lead Lag,3194,---,2,FLOAT32,R,-1 to 1,---,
Meter Data (Basic),Power Factor,"Power Factor, Alternate Format",Power Factor Total IEC,3196,---,1,INT16U,R,-1 to 1,---,"If a negative value is reported, add 32768 then divide by 1000 to find the lagging PF reported. If the number is positive just divide that number by 1000 to get the PF reported."
Meter Data (Basic),Power Factor,"Power Factor, Alternate Format",Power Factor Total Lead Lag,3197,---,1,INT16U,R,-1 to 1,---,"If a negative value is reported, add 32768 then divide by 1000 to find the lagging PF reported. If the number is positive just divide that number by 1000 to get the PF reported."
Meter Data (Basic),Energy,Accumulated Energy,Accumulated Energy Reset Date/Time,3200,---,4,DATETIME,R,---,N/A,
Meter Data (Basic),Energy,Accumulated Energy,Active Energy Delivered (Into Load),3204,Wh,4,INT64,R,---,0,
Meter Data (Basic),Energy,Accumulated Energy,Active Energy Received (Out of Load),3208,Wh,4,INT64,R,---,0,
Meter Data (Basic),Energy,Accumulated Energy,Active Energy Delivered + Received,3212,Wh,4,INT64,R,---,0,
Meter Data (Basic),Energy,Accumulated Energy,Active Energy Delivered- Received,3216,Wh,4,INT64,R,---,0,
Meter Data (Basic),Energy,Accumulated Energy,Reactive Energy Delivered,3220,VARh,4,INT64,R,---,0,
Meter Data (Basic),Energy,Accumulated Energy,Reactive Energy Received,3224,VARh,4,INT64,R,---,0,
Meter Data (Basic),Energy,Accumulated Energy,Reactive Energy Delivered + Received,3228,VARh,4,INT64,R,---,0,
Meter Data (Basic),Energy,Accumulated Energy,Reactive Energy Delivered - Received,3232,VARh,4,INT64,R,---,0,
Meter Data (Basic),Energy,Accumulated Energy,Apparent Energy Delivered,3236,VAh,4,INT64,R,---,0,
Meter Data (Basic),Energy,Accumulated Energy,Apparent Energy Received,3240,VAh,4,INT64,R,---,0,
Meter Data (Basic),Energy,Accumulated Energy,Apparent Energy Delivered + Received,3244,VAh,4,INT64,R,---,0,
Meter Data (Basic),Energy,Accumulated Energy,Apparent Energy Delivered - Received,3248,VAh,4,INT64,R,---,0,
Meter Data (Basic),Demand,Demand System 1 (Power) ,Power Demand Method,3701,---,1,INT16U,RWC,"0-11
PM5350: 0-7",2,"0 = Thermal Demand
1 = Timed Interval Sliding Block
2 = Timed Interval Block
3 = Timed Interval Rolling Block
4 = Input Synchronized Block
5 = Input Synchronized Rolling Block
6 = Command Synchronized Block
7 = Command Synchronized Rolling Block
8 = Clock Synchronized Block
9 = Clock Synchronized Rolling Block
10 = Slave to System 1 (Power) Demand Interval
11 = Slave to Incremental Energy Interval
"
Meter Data (Basic),Demand,Demand System 1 (Power) ,Power Demand Interval Duration,3702,minutes,1,INT16U,RWC,1 – 60,15,
Meter Data (Basic),Demand,Demand System 1 (Power) ,Power Demand Subinterval Duration,3703,minutes,1,INT16U,RWC,1 – 60,15,"The value must be evenly divisable into Interval Duration for Rolling Block.
For Thermal and Fixed Block demand methods, this value must be same as Interval Duration. "
Meter Data (Basic),Demand,Demand System 1 (Power) ,Power Demand Elapsed Time in Interval,3704,seconds,1,INT16U,R,"0 – 3,600",0,
Meter Data (Basic),Demand,Demand System 1 (Power) ,Power Demand Elapsed Time in Subinterval,3705,seconds,1,INT16U,R,"0 – 3,600",0,
Meter Data (Basic),Demand,Demand System 1 (Power) ,Power Demand Peak Reset Date/Time,3706,---,4,DATETIME,R,---,N/A,
Meter Data (Basic),Demand,Demand System 2 (Current),Current Demand Method,3711,---,1,INT16U,RWC,"0-11
PM5350: 0-7",2,"0 = Thermal Demand
1 = Timed Interval Sliding Block
2 = Timed Interval Block
3 = Timed Interval Rolling Block
4 = Input Synchronized Block
5 = Input Synchronized Rolling Block
6 = Command Synchronized Block
7 = Command Synchronized Rolling Block
8 = Clock Synchronized Block
9 = Clock Synchronized Rolling Block
10 = Slave to System 1 (Power) Demand Interval
11 = Slave to Incremental Energy Interval
"
Meter Data (Basic),Demand,Demand System 2 (Current),Current Demand Interval Duration,3712,minutes,1,INT16U,RWC,1 – 60,15,
Meter Data (Basic),Demand,Demand System 2 (Current),Current Demand Subinterval Duration,3713,minutes,1,INT16U,RWC,1 – 60,15,"The value must be evenly divisable into Interval Duration for Rolling Block.
For Thermal and Fixed Block demand methods, this value must be same as Interval Duration. "
Meter Data (Basic),Demand,Demand System 2 (Current),Current Demand Elapsed Time in Interval,3714,seconds,1,INT16U,R,"0 – 3,600",0,
Meter Data (Basic),Demand,Demand System 2 (Current),Current Demand Elapsed Time in Subinterval,3715,seconds,1,INT16U,R,"0 – 3,600",0,
Meter Data (Basic),Demand,Demand System 2 (Current),Current Demand Peak Reset Date/Time,3716,---,4,DATETIME,R,---,N/A,
Meter Data (Basic),Demand,Demand Channel 1 (Active Power),Demand System Assignment,3761,---,1,INT16U,R,0 – 6,1,Power Demand - Active Power Total
Meter Data (Basic),Demand,Demand Channel 1 (Active Power),Register Number of Metered Quantity,3762,---,1,INT16U,R,"1 – 32,767",R_PTOT_50_60_CYC_RMS,Active Power Total
Meter Data (Basic),Demand,Demand Channel 1 (Active Power),Units Code,3763,---,1,INT16U,R,0 – 100,12,
Meter Data (Basic),Demand,Demand Channel 1 (Active Power),Last Demand,3764,kW,2,FLOAT32,R,---,0,
Meter Data (Basic),Demand,Demand Channel 1 (Active Power),Present Demand,3766,kW,2,FLOAT32,R,---,0,
Meter Data (Basic),Demand,Demand Channel 1 (Active Power),Predicted Demand,3768,kW,2,FLOAT32,R,---,0,
Meter Data (Basic),Demand,Demand Channel 1 (Active Power),Peak Demand,3770,kW,2,FLOAT32,R,---,0,
Meter Data (Basic),Demand,Demand Channel 1 (Active Power),Peak Demand DateTime,3772,---,4,DATETIME,R,---,N/A,
Meter Data (Basic),Demand,Demand Channel 2 (Reactive Power),Demand System Assignment,3777,---,1,INT16U,R,0 – 6,1,Power Demand-Reactive Power Total
Meter Data (Basic),Demand,Demand Channel 2 (Reactive Power),Register Number of Metered Quantity,3778,---,1,INT16U,R,"1 – 32,767",R_QTOT_50_60_CYC_RMS,Reactive Power Total
Meter Data (Basic),Demand,Demand Channel 2 (Reactive Power),Units Code,3779,---,1,INT16U,R,0 – 100,15,
Meter Data (Basic),Demand,Demand Channel 2 (Reactive Power),Last Demand,3780,kVAR,2,FLOAT32,R,---,0,
Meter Data (Basic),Demand,Demand Channel 2 (Reactive Power),Present Demand,3782,kVAR,2,FLOAT32,R,---,0,
Meter Data (Basic),Demand,Demand Channel 2 (Reactive Power),Predicted Demand,3784,kVAR,2,FLOAT32,R,---,0,
Meter Data (Basic),Demand,Demand Channel 2 (Reactive Power),Peak Demand,3786,kVAR,2,FLOAT32,R,---,0,
Meter Data (Basic),Demand,Demand Channel 2 (Reactive Power),Peak Demand DateTime,3788,---,4,DATETIME,R,---,N/A,
Meter Data (Basic),Demand,Demand Channel 3 (Apparent Power),Demand System Assignment,3793,---,1,INT16U,R,0 – 6,1,Power Demand - Apparent Power Total
Meter Data (Basic),Demand,Demand Channel 3 (Apparent Power),Register Number of Metered Quantity,3794,---,1,INT16U,R,"1 – 32,767",R_STOT_50_60_CYC_RMS,Apparent Power Total
Meter Data (Basic),Demand,Demand Channel 3 (Apparent Power),Units Code,3795,---,1,INT16U,R,0 – 100,18,
Meter Data (Basic),Demand,Demand Channel 3 (Apparent Power),Last Demand,3796,kVA,2,FLOAT32,R,---,0,
Meter Data (Basic),Demand,Demand Channel 3 (Apparent Power),Present Demand,3798,kVA,2,FLOAT32,R,---,0,
Meter Data (Basic),Demand,Demand Channel 3 (Apparent Power),Predicted Demand,3800,kVA,2,FLOAT32,R,---,0,
Meter Data (Basic),Demand,Demand Channel 3 (Apparent Power),Peak Demand,3802,kVA,2,FLOAT32,R,---,0,
Meter Data (Basic),Demand,Demand Channel 3 (Apparent Power),Peak Demand DateTime,3804,---,4,DATETIME,R,---,N/A,
Meter Data (Basic),Demand,Demand Channel 8 (Current Avg),Demand System Assignment,3873,---,1,INT16U,R,0 – 6,2,"Current Demand - Current, Average"
Meter Data (Basic),Demand,Demand Channel 8 (Current Avg),Register Number of Metered Quantity,3874,---,1,INT16U,R,"1 – 32,767",R_IAVG_50_60_CYC_RMS,"Current, Average"
Meter Data (Basic),Demand,Demand Channel 8 (Current Avg),Units Code,3875,---,1,INT16U,R,0 – 100,6,
Meter Data (Basic),Demand,Demand Channel 8 (Current Avg),Last Demand,3876,A,2,FLOAT32,R,---,0,
Meter Data (Basic),Demand,Demand Channel 8 (Current Avg),Present Demand,3878,A,2,FLOAT32,R,---,0,
Meter Data (Basic),Demand,Demand Channel 8 (Current Avg),Predicted Demand,3880,A,2,FLOAT32,R,---,0,
Meter Data (Basic),Demand,Demand Channel 8 (Current Avg),Peak Demand,3882,A,2,FLOAT32,R,---,0,
Meter Data (Basic),Demand,Demand Channel 8 (Current Avg),Peak Demand DateTime,3884,---,4,DATETIME,R,---,N/A,
Meter Data (Basic),Energy Multi Tariff,Mult-Tariff Energy Status,TOU/MT Mode,4190,---,1,INT16U,RWC,0 - 2,0,
Meter Data (Basic),Energy Multi Tariff,Mult-Tariff Energy Status,TOU/MT Energy Active Rate,4191,---,1,INT16U,R,0 – 8,0,
Meter Data (Basic),Energy Multi Tariff,Mult-Tariff Energy Status,TOU/MT Energy Reset Date/Time,4192,---,4,DATETIME,R,---,N/A,
Meter Data (Basic),Energy Multi Tariff,MT Active Energy Delivered Rates,Active Energy Delivered Rate 1,4196,Wh,4,INT64,R,---,0,
Meter Data (Basic),Energy Multi Tariff,MT Active Energy Delivered Rates,Active Energy Delivered Rate 2,4200,Wh,4,INT64,R,---,0,
Meter Data (Basic),Energy Multi Tariff,MT Active Energy Delivered Rates,Active Energy Delivered Rate 3,4204,Wh,4,INT64,R,---,0,
Meter Data (Basic),Energy Multi Tariff,MT Active Energy Delivered Rates,Active Energy Delivered Rate 4,4208,Wh,4,INT64,R,---,0,
Meter Data (Basic),Energy Multi Tariff,MT Active Energy Received Rates,Active Energy Received Rate 1,4228,Wh,4,INT64,R,---,0,
Meter Data (Basic),Energy Multi Tariff,MT Active Energy Received Rates,Active Energy Received Rate 2,4232,Wh,4,INT64,R,---,0,
