Category,Sub Cat 1,Sub Cat 2,Description,Register,Units,"Size
(INT16)",Data Type,Access,Range,Default,User Notes
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Active Energy Delivered Rates,Active Energy Delivered Rate 1,4800,kWh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Active Energy Delivered Rates,Active Energy Delivered Rate 2,4802,kWh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Active Energy Delivered Rates,Active Energy Delivered Rate 3,4804,kWh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Active Energy Delivered Rates,Active Energy Delivered Rate 4,4806,kWh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Active Energy Received Rates,Active Energy Received Rate 1,4816,kWh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Active Energy Received Rates,Active Energy Received Rate 2,4818,kWh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Active Energy Received Rates,Active Energy Received Rate 3,4820,kWh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Active Energy Received Rates,Active Energy Received Rate 4,4822,kWh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Reactive Energy Delivered Rates,Reactive Energy Delivered Rate 1,4832,kVARh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Reactive Energy Delivered Rates,Reactive Energy Delivered Rate 2,4834,kVARh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Reactive Energy Delivered Rates,Reactive Energy Delivered Rate 3,4836,kVARh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Reactive Energy Delivered Rates,Reactive Energy Delivered Rate 4,4838,kVARh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Reactive Energy Received Rates,Reactive Energy Received Rate 1,4848,kVARh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Reactive Energy Received Rates,Reactive Energy Received Rate 2,4850,kVARh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Reactive Energy Received Rates,Reactive Energy Received Rate 3,4852,kVARh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Reactive Energy Received Rates,Reactive Energy Received Rate 4,4854,kVARh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Apparent Energy Delivered Rates,Apparent Energy Delivered Rate 1,4864,kVAh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Apparent Energy Delivered Rates,Apparent Energy Delivered Rate 2,4866,kVAh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Apparent Energy Delivered Rates,Apparent Energy Delivered Rate 3,4868,kVAh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Apparent Energy Delivered Rates,Apparent Energy Delivered Rate 4,4870,kVAh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Apparent Energy Received Rates,Apparent Energy Received Rate 1,4880,kVAh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Apparent Energy Received Rates,Apparent Energy Received Rate 2,4882,kVAh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Apparent Energy Received Rates,Apparent Energy Received Rate 3,4884,kVAh,2,FLOAT32,R,---,0,
Energy Multi Tariff and Multi Circuit,Energy Multi Tariff,MT Apparent Energy Received Rates,Apparent Energy Received Rate 4,4886,kVAh,2,FLOAT32,R,---,0,
