Category,Sub Cat 1,Sub Cat 2,Description,Register,Units,"Size
(INT16)",Data Type,Access,Range,Default,User Notes
Command Interface,Protected Command Interface,Command parameters,Requested Command,5000,---,1,INT16U,RW,1 – 32767,0,
Command Interface,Protected Command Interface,Command parameters,Command Semaphore,5001,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 001,5002,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 002,5003,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 003,5004,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 004,5005,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 005,5006,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 006,5007,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 007,5008,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 008,5009,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 009,5010,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 010,5011,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 011,5012,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 012,5013,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 013,5014,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 014,5015,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 015,5016,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 016,5017,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 017,5018,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 018,5019,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 019,5020,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 020,5021,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 021,5022,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 022,5023,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 023,5024,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 024,5025,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 025,5026,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 026,5027,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 027,5028,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 028,5029,---,1,INT16U,RW,---,0,
Command Interface,Protected Command Interface,Command parameters,Command Parameter 029,5030,---,1,INT16U,RW,---,0,
