Category,Sub Cat 1,Sub Cat 2,Description,Register,Units,"Size
(INT16)",Data Type,Access,Range,Default,User Notes
Alarms,,,,,---,,---,---,---,---,
Alarms,Alarm Status,,,,---,,---,---,---,---,
Alarms,Alarm Status,Detected Priority Status,,11010,---,,---,---,---,---,
Alarms,Alarm Status,Detected Priority Status,Detected Priority Status Bitmap,11010,---,1,BITMAP,R,0x0000 - 0x001F,0,"Bit 01 = 1 if any priority 1-3 alarm is active
Bit 02 = 1 if a “High” (1) priority alarm is active
Bit 03 = 1 if a “Medium” (2) priority alarm is active
Bit 04 = 1 if a “Low” (3) priority alarm is active
Bit 05 = 1 if a ""None"" (0) priority alarm is active"
Alarms,,Enabled Alarm Bitmaps,,11040,---,,---,---,---,---,
Alarms,,Enabled Alarm Bitmaps,Standard – 1 second 1,11040,---,1,BITMAP,R,,0,0 = Disabled; 1 = Enabled
Alarms,,Enabled Alarm Bitmaps,Standard – 1 second 2,11041,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Standard – 1 second 3,11042,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Custom – 1 second,11043,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Standard – High Speed 1,11044,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Standard – High Speed 2,11045,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Custom – High Speed,11046,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Disturbance,11047,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Transient,11048,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Waveshape,11049,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Unary,11050,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Digital 1,11051,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Digital 2,11052,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Digital 3,11053,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Digital 4,11054,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Digital 5,11055,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Binary,11056,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Time_of_day,11057,---,1,BITMAP,R,,0,
Alarms,,Enabled Alarm Bitmaps,Logic,11058,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,,11059,---,,---,---,---,---,
Alarms,,Detected Alarm Bitmaps,Standard – 1 second Group 1,11059,---,1,BITMAP,R,,0,0 = Not Detected; 1 = Detected
Alarms,,Detected Alarm Bitmaps,Standard – 1 second Group 2,11060,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Standard – 1 second Group 3,11061,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Custom – 1 second,11062,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Standard – High Speed Group 1,11063,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Standard – High Speed Group 2,11064,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Custom – High Speed,11065,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Disturbance,11066,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Transient,11067,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Waveshape,11068,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Unary,11069,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Digital Group 1,11070,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Digital Group 2,11071,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Digital Group 3,11072,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Digital Group 4,11073,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Digital Group 5,11074,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Binary,11075,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Time_of_day,11076,---,1,BITMAP,R,,0,
Alarms,,Detected Alarm Bitmaps,Logic,11077,---,1,BITMAP,R,,0,
Alarms,,Unacknowledged High Priority Alarm Bitmaps,,11078,---,,---,---,---,---,
Alarms,,Unacknowledged High Priority Alarm Bitmaps,Standard – 1 second 1,11078,---,1,BITMAP,R,,0,0 = Acknowledged; 1 = Unacknowledged
Alarms,,Unacknowledged High Priority Alarm Bitmaps,Standard – 1 second 2,11079,---,1,BITMAP,R,,0,
