Category,Sub Cat 1,Sub Cat 2,Description,Register,Units,"Size
(INT16)",Data Type,Access,Range,Default,User Notes
Power Quality,Frequency,Frequency,HS Frequency,21016,Hz,2,FLOAT32,R,42 – 70,,
Power Quality,Total Harmonic Distortion,"Total Harmonic Distortion, Current",THD Current A,21300,%,2,FLOAT32,R,0 – 100,---,THD = (RMS of harmonics / RMS of fundamental) * 100
Power Quality,Total Harmonic Distortion,"Total Harmonic Distortion, Current",THD Current B,21302,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Harmonic Distortion,"Total Harmonic Distortion, Current",THD Current C,21304,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Harmonic Distortion,"Total Harmonic Distortion, Current",THD Current N,21306,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Harmonic Distortion,"Total Harmonic Distortion, Current",THD Current G,21308,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Demand Distortion,"Total Harmonic Distortion, Current",thd Current A,21310,%,2,FLOAT32,R,0 – 100,---,thd = (RMS of harmonics / total RMS) * 100
Power Quality,Total Demand Distortion,"Total Harmonic Distortion, Current",thd Current B,21312,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Demand Distortion,"Total Harmonic Distortion, Current",thd Current C,21314,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Demand Distortion,"Total Harmonic Distortion, Current",thd Current N,21316,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Demand Distortion,"Total Harmonic Distortion, Current",thd Current G,21318,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Demand Distortion,Total Demand Distortion,Total Demand Distortion,21320,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Harmonic Distortion,"Total Harmonic Distortion, Voltage",THD Voltage A-B,21322,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Harmonic Distortion,"Total Harmonic Distortion, Voltage",THD Voltage B-C,21324,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Harmonic Distortion,"Total Harmonic Distortion, Voltage",THD Voltage C-A,21326,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Harmonic Distortion,"Total Harmonic Distortion, Voltage",THD Voltage L-L,21328,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Harmonic Distortion,"Total Harmonic Distortion, Voltage",THD Voltage A-N,21330,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Harmonic Distortion,"Total Harmonic Distortion, Voltage",THD Voltage B-N,21332,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Harmonic Distortion,"Total Harmonic Distortion, Voltage",THD Voltage C-N,21334,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Harmonic Distortion,"Total Harmonic Distortion, Voltage",THD Voltage N-G,21336,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Harmonic Distortion,"Total Harmonic Distortion, Voltage",THD Voltage L-N,21338,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Demand Distortion,"Total Harmonic Distortion, Voltage",thd Voltage A-B,21340,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Demand Distortion,"Total Harmonic Distortion, Voltage",thd Voltage B-C,21342,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Demand Distortion,"Total Harmonic Distortion, Voltage",thd Voltage C-A,21344,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Demand Distortion,"Total Harmonic Distortion, Voltage",thd Voltage L-L,21346,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Demand Distortion,"Total Harmonic Distortion, Voltage",thd Voltage A-N,21348,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Demand Distortion,"Total Harmonic Distortion, Voltage",thd Voltage B-N,21350,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Demand Distortion,"Total Harmonic Distortion, Voltage",thd Voltage C-N,21352,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Demand Distortion,"Total Harmonic Distortion, Voltage",thd Voltage N-G,21354,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Total Demand Distortion,"Total Harmonic Distortion, Voltage",thd Voltage L-N,21356,%,2,FLOAT32,R,0 – 100,---,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H1 Magnitude, %",21712,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H2 Magnitude, %",21718,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H3 Magnitude, %",21724,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H4 Magnitude, %",21730,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H5 Magnitude, %",21736,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H6 Magnitude, %",21742,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H7 Magnitude, %",21748,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H8 Magnitude, %",21754,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H9 Magnitude, %",21760,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H10 Magnitude, %",21766,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H11 Magnitude, %",21772,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H12 Magnitude, %",21778,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H13 Magnitude, %",21784,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H14 Magnitude, %",21790,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H15 Magnitude, %",21796,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H16 Magnitude, %",21802,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H17 Magnitude, %",21808,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H18 Magnitude, %",21814,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H19 Magnitude, %",21820,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H20 Magnitude, %",21826,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H21 Magnitude, %",21832,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H22 Magnitude, %",21838,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H23 Magnitude, %",21844,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H24 Magnitude, %",21850,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H25 Magnitude, %",21856,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H26 Magnitude, %",21862,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H27 Magnitude, %",21868,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H28 Magnitude, %",21874,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H29 Magnitude, %",21880,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H30 Magnitude, %",21886,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage A-B","Voltage A-B, H31 Magnitude, %",21892,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C",,22090,---,,---,---,---,---,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H1 Magnitude, %",22100,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H2 Magnitude, %",22106,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H3 Magnitude, %",22112,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H4 Magnitude, %",22118,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H5 Magnitude, %",22124,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H6 Magnitude, %",22130,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H7 Magnitude, %",22136,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H8 Magnitude, %",22142,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H9 Magnitude, %",22148,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H10 Magnitude, %",22154,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H11 Magnitude, %",22160,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H12 Magnitude, %",22166,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H13 Magnitude, %",22172,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H14 Magnitude, %",22178,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H15 Magnitude, %",22184,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H16 Magnitude, %",22190,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H17 Magnitude, %",22196,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H18 Magnitude, %",22202,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H19 Magnitude, %",22208,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H20 Magnitude, %",22214,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H21 Magnitude, %",22220,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H22 Magnitude, %",22226,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H23 Magnitude, %",22232,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H24 Magnitude, %",22238,%,2,FLOAT32,R,,,
Power Quality,Harmonics,"Harmonic Magnitudes and Angles, Voltage B-C","Voltage B-C, H25 Magnitude, %",22244,%,2,FLOAT32,R,,,
