group,name,offset,width,type,value,meaning
EventCode,category,12,4,enum,15,ALARM_EVENT
EventCode,eventType,8,4,enum,0,NONE
EventCode,eventType,8,4,enum,1,UNARY
EventCode,eventType,8,4,enum,2,PICKUP
EventCode,eventType,8,4,enum,3,DROPOUT
EventCode,eventType,8,4,enum,4,COMPRESSED_PICKUP
EventCode,eventType,8,4,enum,5,COMPRESSED_DURATION
EventCode,eventType,8,4,enum,6,COMPRESSED_VALUE
EventCode,eventType,8,4,enum,7,AGGREGATED_PICKUP
EventCode,eventType,8,4,enum,8,AGGREGATED_DURATION
EventCode,eventType,8,4,enum,9,AGGREGATED_VALUE
EventCode,eventType,8,4,enum,10,P1 ACKNOWLEDGED
EventCode,eventType,8,4,enum,11,DIGITAL_OUTPUT_ASSOCIATED
EventCode,eventType,8,4,enum,12,FILES_ASSOCIATED
EventCode,eventType,8,4,enum,13,WFC_ASSOCIATED
EventCode,phases,4,4,enum,0,NONE
EventCode,phases,4,4,enum,1,A
EventCode,phases,4,4,enum,2,B
EventCode,phases,4,4,enum,3,C
EventCode,phases,4,4,enum,4,AB
EventCode,phases,4,4,enum,5,BC
EventCode,phases,4,4,enum,6,CA
EventCode,phases,4,4,enum,7,ABC
EventCode,phases,4,4,enum,8,N
EventCode,phases,4,4,enum,9,G
EventCode,phases,4,4,enum,10,NG
EventCode,direction,0,4,enum,0,DDD_NONE
EventCode,direction,0,4,enum,1,DDD_UNKNOWN             
EventCode,direction,0,4,enum,2,DDD_UPSTREAM_LOW        
EventCode,direction,0,4,enum,3,DDD_UPSTREAM_MEDIUM     
EventCode,direction,0,4,enum,4,DDD_UPSTREAM_HIGH       
EventCode,direction,0,4,enum,5,DDD_DOWNSTREAM_LOW      
EventCode,direction,0,4,enum,6,DDD_DOWNSTREAM_MEDIUM   
EventCode,direction,0,4,enum,7,DDD_DOWNSTREAM_HIGH     
Alarm Attributes,subtype,23,4,enum,,
Alarm Attributes,parameter,17,4,enum,31,
Alarm Attributes,parameter,17,4,enum,32,
Alarm Attributes,parameter,17,4,enum,33,
Alarm Attributes,parameter,17,4,enum,34,
Alarm Attributes,parameter,17,4,enum,35,
Alarm Attributes,parameter,17,4,enum,36,
Alarm Attributes,parameter,17,4,enum,37,
Alarm Attributes,parameter,17,4,enum,38,
Alarm Attributes,parameter,17,4,enum,39,
Alarm Attributes,parameter,17,4,enum,40,
Alarm Attributes,parameter,17,4,enum,41,
Alarm Attributes,parameter,17,4,enum,42,
Alarm Attributes,parameter,17,4,enum,43,
Alarm Attributes,parameter,17,4,enum,44,
Alarm Attributes,parameter,17,4,enum,45,
Alarm Attributes,parameter,17,4,enum,46,
Alarm Attributes,parameter,17,4,enum,47,
Alarm Attributes,parameter,17,4,enum,48,
Alarm Attributes,parameter,17,4,enum,49,
Alarm Attributes,parameter,17,4,enum,50,
Alarm Attributes,parameter,17,4,enum,51,
Alarm Attributes,parameter,17,4,enum,52,
Alarm Attributes,parameter,17,4,enum,53,
Alarm Attributes,parameter,17,4,enum,54,
Alarm Attributes,parameter,17,4,enum,55,
Alarm Attributes,parameter,17,4,enum,56,
Alarm Attributes,parameter,17,4,enum,57,
Alarm Attributes,parameter,17,4,enum,58,
Alarm Attributes,parameter,17,4,enum,59,
Alarm Attributes,parameter,17,4,enum,60,
Alarm Attributes,modifier,11,4,enum,,
Alarm Attributes,modifier,11,4,enum,50,
Alarm Attributes,modifier,11,4,enum,51,
Alarm Attributes,modifier,11,4,enum,52,
Alarm Attributes,modifier,11,4,enum,53,
Alarm Attributes,modifier,11,4,enum,54,
Alarm Attributes,modifier,11,4,enum,55,
Alarm Attributes,modifier,11,4,enum,56,
Alarm Attributes,modifier,11,4,enum,57,
Alarm Attributes,modifier,11,4,enum,58,
Alarm Attributes,modifier,11,4,enum,59,
Alarm Attributes,modifier,11,4,enum,60,
Alarm Attributes,level,5,2,enum,,
Alarm Attributes,priority,3,2,enum,,
