# Template 1: Datatype Structure Definition
# Purpose: Define the bit-level structure of reusable datatypes
# When to fill: Once per datatype (reuse across many registers)
# One row per field within each datatype

# ============================================================================
# INSTRUCTIONS FOR FILLING THIS TEMPLATE
# ============================================================================
# 
# Column Definitions:
# -------------------
# datatype      - Name of the datatype (e.g., DATETIME, AlarmAttributes)
#                 Use UPPERCASE with underscores
#                 This name will be referenced in Template 4
#
# field_name    - Name of this field within the datatype
#                 Use lowercase with underscores (e.g., year, month, day)
#                 Must be unique within the datatype
#
# bit_start     - First bit position (0-indexed from right/LSB)
#                 For 16-bit: 0-15
#                 For 32-bit: 0-31
#                 For 64-bit: 0-63
#
# bit_end       - Last bit position (inclusive)
#                 Must be >= bit_start
#                 Width = bit_end - bit_start + 1
#
# value_type    - Type of value this field represents:
#                 number   = Numeric value (temperature, voltage, etc.)
#                 enum     = Enumerated codes (see Template 3)
#                 flag     = Boolean on/off (0 or 1)
#                 reserved = Unused bits (always mark these!)
#
# offset        - Value added after bit extraction
#                 Example: Year with offset 2000 converts 25 → 2025
#                 Use 0 if no offset needed
#
# scale         - Multiplier applied to extracted value
#                 Example: Temperature with scale 0.1 converts 235 → 23.5
#                 Use 1 if no scaling needed
#
# unit          - Unit of measurement (V, A, kW, °C, etc.)
#                 Leave blank for dimensionless or reserved fields
#
# description   - Human-readable description
#                 Copy from device manual
#                 Include valid ranges if known
#
# ============================================================================

datatype,field_name,bit_start,bit_end,value_type,offset,scale,unit,description

# ============================================================================
# DATETIME - IEC 870-5-4 Standard (64-bit, 4 words)
# ============================================================================
# Used by: Schneider PM8000, ABB M2M, GE Multilin, and many others
# Standard: IEC 870-5-4 (International standard for time encoding)
# Size: 64 bits (4 x 16-bit Modbus words)
# Byte order: Typically big-endian (configure per device in metadata)
# 
# Structure: [Word 1: Year + Reserved][Word 2: Day/Weekday/Month + Reserved]
#            [Word 3: Minute + TimeSync/Hour + DST][Word 4: Milliseconds]
#
# Example reading: 0x0019 0x0B04 0x0E1E 0x007B
# Decoded: 2025-01-11 14:30:00.123 (Saturday)
# ============================================================================

DATETIME,year,0,6,number,2000,1,year,Year (0-127) representing 2000-2127
DATETIME,reserved_1,7,15,reserved,0,1,,Reserved bits - do not use
DATETIME,day,16,20,number,0,1,day,Day of month (1-31)
DATETIME,weekday,21,23,enum,0,1,,Day of week (1=Mon to 7=Sun or 0=not used)
DATETIME,month,24,27,number,0,1,month,Month (1=January to 12=December)
DATETIME,reserved_2,28,31,reserved,0,1,,Reserved bits
DATETIME,minute,32,37,number,0,1,min,Minutes (0-59)
DATETIME,reserved_3,38,38,reserved,0,1,,Single reserved bit
DATETIME,time_sync_invalid,39,39,flag,0,1,,Time synchronization flag (0=valid 1=invalid)
DATETIME,hour,40,44,number,0,1,hr,Hour in 24-hour format (0-23)
DATETIME,reserved_4,45,46,reserved,0,1,,Reserved bits
DATETIME,dst_active,47,47,flag,0,1,,Daylight saving time flag (0=standard 1=DST)
DATETIME,millisecond,48,63,number,0,1,ms,Milliseconds including seconds (0-59999)

# ============================================================================
# AlarmAttributes - Power Meter Alarm Configuration (32-bit, 2 words)
# ============================================================================
# Used by: Schneider PM8000, ION series meters
